,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
23404,Mexico,9,757217289,Stub,Rosalinda López Hernández,130.8,1077,0.000823394495412844,0.8356545961002786
23405,Mexico,9,757217291,Stub,Rosario Brindis Álvarez,130.8,1077,0.000823394495412844,0.8356545961002786
23406,Mexico,9,757217292,Start,Rosario Green,130.8,1077,0.000823394495412844,0.8356545961002786
23407,Mexico,9,757217295,Stub,Rosario Ortiz Yeladaqui,130.8,1077,0.000823394495412844,0.8356545961002786
23408,Mexico,9,757217299,Stub,Rosaura Denegre Vaught,130.8,1077,0.000823394495412844,0.8356545961002786
23409,Mexico,9,757217300,Stub,Roxana Luna Porquillo,130.8,1077,0.000823394495412844,0.8356545961002786
23410,Mexico,9,757217304,Stub,Rubí Laura López Silva,130.8,1077,0.000823394495412844,0.8356545961002786
23411,Mexico,9,757217305,Stub,Ruth Lugo,130.8,1077,0.000823394495412844,0.8356545961002786
23412,Mexico,9,757217307,Start,Ruth Zavaleta,130.8,1077,0.000823394495412844,0.8356545961002786
23413,Mexico,9,757217315,Stub,Salma Meza Manjarrez,130.8,1077,0.000823394495412844,0.8356545961002786
23414,Mexico,9,757217317,Start,Sandra Méndez Hernández,130.8,1077,0.000823394495412844,0.8356545961002786
23415,Mexico,9,757217322,Stub,Sandra Ugalde Basaldúa,130.8,1077,0.000823394495412844,0.8356545961002786
23416,Mexico,9,757217324,Stub,Sara Guadalupe Figueroa Canedo,130.8,1077,0.000823394495412844,0.8356545961002786
23417,Mexico,9,757217332,Stub,Sara Montiel Solís,130.8,1077,0.000823394495412844,0.8356545961002786
23418,Mexico,9,757217333,Start,Sara Ruiz Chávez,130.8,1077,0.000823394495412844,0.8356545961002786
23419,Mexico,9,757217336,Stub,Sara Shej,130.8,1077,0.000823394495412844,0.8356545961002786
23420,Mexico,9,757217355,Stub,Silvia Fernández Martínez,130.8,1077,0.000823394495412844,0.8356545961002786
23421,Mexico,9,757217359,Stub,Silvia Guadalupe Garza,130.8,1077,0.000823394495412844,0.8356545961002786
23422,Mexico,9,757217366,Stub,Silvia Luna Rodríguez,130.8,1077,0.000823394495412844,0.8356545961002786
